CMDLINE python3 getYieldsandRatios.py
MEM 0.304688 1706285380.1668
MEM 35.734375 1706285380.2674
MEM 45.410156 1706285380.3678
MEM 60.238281 1706285380.4683
MEM 68.289062 1706285380.5688
MEM 72.300781 1706285380.6693
MEM 78.375000 1706285380.7699
MEM 81.621094 1706285380.8705
MEM 92.066406 1706285380.9710
MEM 102.097656 1706285381.0716
MEM 132.773438 1706285381.1721
MEM 140.945312 1706285381.2726
MEM 207.378906 1706285381.3732
MEM 280.363281 1706285381.4737
MEM 343.929688 1706285381.5742
MEM 379.984375 1706285381.6747
MEM 424.613281 1706285381.7753
MEM 431.953125 1706285381.8759
MEM 447.761719 1706285381.9765
MEM 473.082031 1706285382.0771
MEM 481.437500 1706285382.1776
MEM 489.593750 1706285382.2781
MEM 497.007812 1706285382.3787
MEM 518.953125 1706285382.4793
MEM 522.750000 1706285382.5798
MEM 532.750000 1706285382.6803
MEM 539.925781 1706285382.7809
MEM 552.019531 1706285382.8814
MEM 562.703125 1706285382.9820
MEM 574.296875 1706285383.0828
MEM 583.390625 1706285383.1833
MEM 590.742188 1706285383.2840
MEM 601.414062 1706285383.3850
MEM 626.546875 1706285383.4857
MEM 654.203125 1706285383.5863
MEM 670.781250 1706285383.6869
MEM 688.781250 1706285383.7878
MEM 706.957031 1706285383.8889
MEM 720.957031 1706285383.9895
MEM 734.957031 1706285384.0900
MEM 752.957031 1706285384.1906
MEM 768.957031 1706285384.2912
MEM 790.957031 1706285384.3918
MEM 810.957031 1706285384.4923
MEM 826.957031 1706285384.5928
MEM 842.957031 1706285384.6934
MEM 858.957031 1706285384.7939
MEM 874.957031 1706285384.8944
MEM 888.957031 1706285384.9949
MEM 902.957031 1706285385.0955
MEM 916.957031 1706285385.1960
MEM 930.957031 1706285385.2969
MEM 944.957031 1706285385.3973
MEM 957.117188 1706285385.4979
MEM 1075.628906 1706285385.5985
MEM 1123.382812 1706285385.6992
MEM 1124.292969 1706285385.7998
MEM 1124.300781 1706285385.9006
MEM 1124.300781 1706285386.0016
MEM 1124.300781 1706285386.1021
MEM 1124.300781 1706285386.2029
MEM 1124.300781 1706285386.3035
MEM 1125.019531 1706285386.4042
MEM 1125.019531 1706285386.5050
MEM 1125.019531 1706285386.6058
MEM 1125.257812 1706285386.7064
MEM 1125.707031 1706285386.8072
MEM 1125.882812 1706285386.9079
MEM 1127.597656 1706285387.0084
MEM 1127.597656 1706285387.1088
MEM 1130.175781 1706285387.2094
MEM 1130.285156 1706285387.3099
MEM 1130.285156 1706285387.4105
MEM 1130.285156 1706285387.5112
MEM 1130.285156 1706285387.6117
MEM 1130.285156 1706285387.7125
MEM 1130.285156 1706285387.8133
MEM 1130.285156 1706285387.9140
MEM 1130.285156 1706285388.0146
MEM 1130.285156 1706285388.1152
MEM 1130.285156 1706285388.2158
MEM 1130.285156 1706285388.3165
MEM 1130.285156 1706285388.4173
MEM 1130.285156 1706285388.5180
MEM 1130.285156 1706285388.6187
MEM 1130.285156 1706285388.7194
MEM 1130.285156 1706285388.8200
MEM 1131.113281 1706285388.9206
MEM 1131.113281 1706285389.0212
MEM 1131.113281 1706285389.1219
MEM 1131.113281 1706285389.2226
MEM 1131.113281 1706285389.3231
MEM 1131.113281 1706285389.4235
MEM 1131.113281 1706285389.5241
MEM 1131.113281 1706285389.6246
MEM 1131.113281 1706285389.7252
MEM 1131.113281 1706285389.8257
MEM 1040.824219 1706285389.9263
MEM 1040.824219 1706285390.0269
MEM 0.000000 1706285390.1274
