CMDLINE python3 getYieldsandRatios.py
MEM 0.304688 1706285418.8046
MEM 37.902344 1706285418.9052
MEM 46.664062 1706285419.0057
MEM 59.414062 1706285419.1062
MEM 66.695312 1706285419.2068
MEM 70.160156 1706285419.3075
MEM 74.320312 1706285419.4080
MEM 80.300781 1706285419.5085
MEM 94.832031 1706285419.6092
MEM 111.425781 1706285419.7098
MEM 139.453125 1706285419.8103
MEM 232.839844 1706285419.9108
MEM 335.636719 1706285420.0114
MEM 408.738281 1706285420.1120
MEM 425.042969 1706285420.2129
MEM 433.042969 1706285420.3135
MEM 448.121094 1706285420.4141
MEM 470.917969 1706285420.5147
MEM 481.589844 1706285420.6152
MEM 487.207031 1706285420.7158
MEM 494.414062 1706285420.8163
MEM 514.328125 1706285420.9170
MEM 518.062500 1706285421.0175
MEM 528.070312 1706285421.1179
MEM 535.257812 1706285421.2184
MEM 547.320312 1706285421.3188
MEM 558.070312 1706285421.4193
MEM 569.957031 1706285421.5199
MEM 577.320312 1706285421.6204
MEM 582.230469 1706285421.7211
MEM 596.925781 1706285421.8216
MEM 630.191406 1706285421.9222
MEM 646.605469 1706285422.0227
MEM 666.109375 1706285422.1233
MEM 688.109375 1706285422.2239
MEM 710.265625 1706285422.3243
MEM 732.265625 1706285422.4247
MEM 752.265625 1706285422.5252
MEM 768.265625 1706285422.6257
MEM 784.265625 1706285422.7265
MEM 806.265625 1706285422.8271
MEM 820.265625 1706285422.9277
MEM 832.265625 1706285423.0289
MEM 844.265625 1706285423.1294
MEM 856.265625 1706285423.2301
MEM 870.265625 1706285423.3307
MEM 884.265625 1706285423.4312
MEM 898.265625 1706285423.5318
MEM 914.265625 1706285423.6323
MEM 932.265625 1706285423.7330
MEM 946.265625 1706285423.8338
MEM 1016.390625 1706285423.9346
MEM 1118.906250 1706285424.0351
MEM 993.238281 1706285424.1356
MEM 996.101562 1706285424.2361
MEM 998.101562 1706285424.3366
MEM 1002.101562 1706285424.4372
MEM 1004.101562 1706285424.5378
MEM 1004.101562 1706285424.6382
MEM 1006.101562 1706285424.7388
MEM 1006.101562 1706285424.8393
MEM 1011.289062 1706285424.9398
MEM 1017.289062 1706285425.0404
MEM 1017.289062 1706285425.1410
MEM 1019.781250 1706285425.2421
MEM 1025.546875 1706285425.3427
MEM 1025.546875 1706285425.4433
MEM 1029.546875 1706285425.5441
MEM 1032.281250 1706285425.6446
MEM 1036.019531 1706285425.7452
MEM 1038.914062 1706285425.8457
MEM 1038.914062 1706285425.9464
MEM 1038.914062 1706285426.0470
MEM 1038.914062 1706285426.1479
MEM 1038.914062 1706285426.2486
MEM 1038.914062 1706285426.3492
MEM 1038.914062 1706285426.4497
MEM 1038.914062 1706285426.5503
MEM 1038.914062 1706285426.6509
MEM 1038.914062 1706285426.7514
MEM 1038.914062 1706285426.8520
MEM 1038.914062 1706285426.9527
MEM 1038.914062 1706285427.0534
MEM 1038.914062 1706285427.1541
MEM 1038.914062 1706285427.2547
MEM 1038.914062 1706285427.3552
MEM 1038.914062 1706285427.4559
MEM 1038.914062 1706285427.5564
MEM 1038.914062 1706285427.6571
MEM 1038.914062 1706285427.7577
MEM 1038.914062 1706285427.8582
MEM 1038.914062 1706285427.9586
MEM 1038.914062 1706285428.0592
MEM 1038.914062 1706285428.1598
MEM 1038.914062 1706285428.2604
MEM 1038.914062 1706285428.3613
MEM 1038.914062 1706285428.4618
MEM 1038.914062 1706285428.5623
MEM 875.285156 1706285428.6631
MEM 878.289062 1706285428.7638
MEM 878.289062 1706285428.8645
MEM 878.289062 1706285428.9650
MEM 878.289062 1706285429.0658
MEM 878.289062 1706285429.1664
MEM 878.289062 1706285429.2677
MEM 878.289062 1706285429.3694
MEM 878.289062 1706285429.4702
MEM 878.289062 1706285429.5708
MEM 878.289062 1706285429.6713
MEM 878.289062 1706285429.7721
MEM 878.289062 1706285429.8726
MEM 878.289062 1706285429.9732
MEM 878.289062 1706285430.0736
MEM 878.289062 1706285430.1743
MEM 878.289062 1706285430.2747
MEM 878.289062 1706285430.3752
MEM 878.289062 1706285430.4757
MEM 878.289062 1706285430.5763
MEM 878.289062 1706285430.6768
MEM 878.289062 1706285430.7773
MEM 878.289062 1706285430.8779
MEM 878.289062 1706285430.9783
MEM 878.289062 1706285431.0790
MEM 878.289062 1706285431.1796
MEM 878.289062 1706285431.2803
MEM 878.289062 1706285431.3808
MEM 878.289062 1706285431.4814
MEM 878.289062 1706285431.5819
MEM 878.289062 1706285431.6826
MEM 878.289062 1706285431.7833
MEM 878.289062 1706285431.8840
MEM 878.289062 1706285431.9846
MEM 878.289062 1706285432.0851
MEM 878.289062 1706285432.1858
MEM 878.289062 1706285432.2864
MEM 878.289062 1706285432.3871
MEM 878.289062 1706285432.4878
MEM 878.289062 1706285432.5885
MEM 878.289062 1706285432.6889
MEM 878.289062 1706285432.7895
MEM 878.289062 1706285432.8901
MEM 878.289062 1706285432.9907
MEM 878.289062 1706285433.0913
MEM 878.289062 1706285433.1920
MEM 878.289062 1706285433.2925
MEM 878.289062 1706285433.3930
MEM 878.289062 1706285433.4935
MEM 878.289062 1706285433.5941
MEM 878.289062 1706285433.6946
MEM 878.289062 1706285433.7952
MEM 878.289062 1706285433.8958
MEM 878.289062 1706285433.9965
MEM 878.289062 1706285434.0971
MEM 878.289062 1706285434.1980
MEM 878.289062 1706285434.2989
MEM 878.289062 1706285434.3994
MEM 878.289062 1706285434.5001
MEM 878.289062 1706285434.6007
MEM 878.289062 1706285434.7013
MEM 878.289062 1706285434.8021
MEM 878.289062 1706285434.9028
MEM 878.289062 1706285435.0033
MEM 878.289062 1706285435.1040
MEM 878.289062 1706285435.2045
MEM 878.289062 1706285435.3052
MEM 878.289062 1706285435.4057
MEM 878.289062 1706285435.5061
MEM 878.289062 1706285435.6069
MEM 878.289062 1706285435.7076
MEM 878.289062 1706285435.8081
MEM 878.289062 1706285435.9089
MEM 878.289062 1706285436.0095
MEM 878.289062 1706285436.1100
MEM 878.289062 1706285436.2106
MEM 878.289062 1706285436.3111
MEM 878.289062 1706285436.4117
MEM 878.289062 1706285436.5122
MEM 878.289062 1706285436.6127
MEM 878.289062 1706285436.7132
MEM 878.289062 1706285436.8137
MEM 878.289062 1706285436.9143
MEM 878.289062 1706285437.0148
MEM 878.289062 1706285437.1153
MEM 878.289062 1706285437.2158
MEM 878.289062 1706285437.3163
MEM 878.289062 1706285437.4169
MEM 878.289062 1706285437.5173
MEM 878.289062 1706285437.6179
MEM 878.289062 1706285437.7185
MEM 878.289062 1706285437.8191
MEM 878.289062 1706285437.9198
MEM 878.289062 1706285438.0204
MEM 878.289062 1706285438.1211
MEM 878.289062 1706285438.2222
MEM 878.289062 1706285438.3228
MEM 878.289062 1706285438.4234
MEM 878.289062 1706285438.5240
MEM 878.289062 1706285438.6247
MEM 878.289062 1706285438.7255
MEM 878.289062 1706285438.8260
MEM 878.289062 1706285438.9269
MEM 878.289062 1706285439.0275
MEM 878.289062 1706285439.1280
MEM 878.289062 1706285439.2288
MEM 878.289062 1706285439.3296
MEM 878.289062 1706285439.4301
MEM 878.289062 1706285439.5307
MEM 878.289062 1706285439.6313
MEM 878.289062 1706285439.7318
MEM 878.289062 1706285439.8323
MEM 878.289062 1706285439.9329
MEM 878.289062 1706285440.0335
MEM 878.289062 1706285440.1341
MEM 878.289062 1706285440.2346
MEM 878.289062 1706285440.3353
MEM 878.289062 1706285440.4359
MEM 878.289062 1706285440.5366
MEM 878.289062 1706285440.6373
MEM 878.289062 1706285440.7378
MEM 878.289062 1706285440.8384
MEM 878.289062 1706285440.9391
MEM 878.289062 1706285441.0401
MEM 878.289062 1706285441.1407
MEM 878.289062 1706285441.2414
MEM 878.289062 1706285441.3420
