pT,$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,ratio,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -,abserror
0.225,0.2,0.25,0.0630035,0.00053532,-0.00053532,0.00475415,-0.00475415,0.0017343,-0.0017343,0.005089103
0.275,0.25,0.3,0.075748,0.000431575,-0.000431575,0.00482825,-0.00482825,0.0020105,-0.0020105,0.005248044
0.325,0.3,0.35,0.079066,0.0001505,-0.0001505,0.0035226,-0.0035226,0.0035226,-0.0035226,0.004984206
0.375,0.35,0.4,0.0885855,0.00015274,-0.00015274,0.0231025,-0.0231025,0.0231025,-0.0231025,0.032672248
0.425,0.4,0.45,0.0972205,0.000162345,-0.000162345,0.0319675,-0.0319675,0.0319675,-0.0319675,0.045209179
0.475,0.45,0.5,0.130275,0.00117548,-0.00117548,0.00498085,-0.00498085,0.0016204,-0.0016204,0.005389575
0.525,0.5,0.55,0.152375,0.00173805,-0.00173805,0.0068821,-0.0068821,0.00212975,-0.00212975,0.007448163
0.575,0.55,0.6,0.16925,0.00200905,-0.00200905,0.0085701,-0.0085701,0.0024688,-0.0024688,0.009178578
0.625,0.6,0.65,0.187945,0.00239965,-0.00239965,0.010971,-0.010971,0.0028922,-0.0028922,0.01163794
0.675,0.65,0.7,0.195315,0.000825085,-0.000825085,0.00480785,-0.00480785,0.00110022,-0.00110022,0.005020321
0.725,0.7,0.75,0.21015,0.0009134,-0.0009134,0.00542955,-0.00542955,0.001361685,-0.001361685,0.005685378
0.775,0.75,0.8,0.22958,0.00105581,-0.00105581,0.00727275,-0.00727275,0.0016399,-0.0016399,0.00753717
0.825,0.8,0.85,0.25004,0.001184295,-0.001184295,0.00808085,-0.00808085,0.00199475,-0.00199475,0.008412422
0.875,0.85,0.9,0.269155,0.0013405,-0.0013405,0.00294055,-0.00294055,0.0023904,-0.0023904,0.004036956
0.925,0.9,0.95,0.28179,0.00147105,-0.00147105,0.0049253,-0.0049253,0.0029848,-0.0029848,0.005956556
0.975,0.95,1,0.29658,0.00161865,-0.00161865,0.0045203,-0.0045203,0.0038427,-0.0038427,0.006155132
1.05,1,1.1,0.31626,0.0013018,-0.0013018,0.00574095,-0.00574095,0.00442855,-0.00442855,0.007371993
1.15,1.1,1.2,0.353665,0.00157935,-0.00157935,0.008036,-0.008036,0.0049577,-0.0049577,0.009579665
1.25,1.2,1.3,0.359955,0.00331295,-0.00331295,0.0307175,-0.0307175,0.005008,-0.005008,0.031300958
1.35,1.3,1.4,0.38227,0.00201305,-0.00201305,0.0438295,-0.0438295,0.0052205,-0.0052205,0.044186773
1.45,1.4,1.5,0.404325,0.0023054,-0.0023054,0.00638605,-0.00638605,0.0054663,-0.0054663,0.008724739
1.55,1.5,1.6,0.428405,0.0025685,-0.0025685,0.00861875,-0.00861875,0.00533595,-0.00533595,0.010466394
1.65,1.6,1.7,0.455405,0.00284,-0.00284,0.0139605,-0.0139605,0.00605295,-0.00605295,0.015488182
1.75,1.7,1.8,0.47627,0.0029737,-0.0029737,0.0219835,-0.0219835,0.00708285,-0.00708285,0.023298647
1.85,1.8,1.9,0.488625,0.00308865,-0.00308865,0.025363,-0.025363,0.0076499,-0.0076499,0.026684695
1.95,1.9,2,0.50524,0.003083,-0.003083,0.0314705,-0.0314705,0.00806835,-0.00806835,0.032642041
2.1,2,2.2,0.51646,0.0023445,-0.0023445,0.037129,-0.037129,0.00854555,-0.00854555,0.038173471
2.3,2.2,2.4,0.52761,0.00252715,-0.00252715,0.041323,-0.041323,0.0087274,-0.0087274,0.04231204
2.5,2.4,2.6,0.53951,0.0029243,-0.0029243,0.0412655,-0.0412655,0.009398,-0.009398,0.042429129
2.7,2.6,2.8,0.545085,0.0035179,-0.0035179,0.04033,-0.04033,0.007706,-0.007706,0.041236381
2.9,2.8,3,0.54684,0.00424335,-0.00424335,0.039583,-0.039583,0.00377985,-0.00377985,0.040058154
3.1,3,3.2,0.544125,0.0049862,-0.0049862,0.0375225,-0.0375225,0.0038666,-0.0038666,0.038070369
3.3,3.2,3.4,0.54115,0.0059725,-0.0059725,0.0403605,-0.0403605,0.0026196,-0.0026196,0.040885622
3.5,3.4,3.6,0.53938,0.0063807,-0.0063807,0.044434,-0.044434,0.002595,-0.002595,0.044965575
3.7,3.6,3.8,0.53295,0.0068345,-0.0068345,0.047742,-0.047742,0.00132595,-0.00132595,0.048266679
3.9,3.8,4,0.52289,0.0071779,-0.0071779,0.0480175,-0.0480175,0.00129475,-0.00129475,0.048590986
4.25,4,4.5,0.51093,0.0046717,-0.0046717,0.056727,-0.056727,0.00758305,-0.00758305,0.05754215
4.75,4.5,5,0.48715,0.0055525,-0.0055525,0.0475245,-0.0475245,0.00474555,-0.00474555,0.048199413
5.25,5,5.5,0.47682,0.0066673,-0.0066673,0.040441,-0.040441,0.00295845,-0.00295845,0.041163687
5.75,5.5,6,0.479755,0.0080565,-0.0080565,0.0376755,-0.0376755,0.0023739,-0.0023739,0.038650684
6.25,6,6.5,0.48143,0.0043803,-0.0043803,0.038514,-0.038514,0.0026674,-0.0026674,0.038858256
6.75,6.5,7,0.48847,0.0049862,-0.0049862,0.0390775,-0.0390775,0.0025192,-0.0025192,0.039477593
7.5,7,8,0.498695,0.00503615,-0.00503615,0.039896,-0.039896,0.0028111,-0.0028111,0.040316482
8.5,8,9,0.5039,0.0061206,-0.0061206,0.040312,-0.040312,0.00308795,-0.00308795,0.040900274
9.5,9,10,0.51837,0.0075117,-0.0075117,0.04147,-0.04147,0.0025647,-0.0025647,0.042225133
10.5,10,11,0.526225,0.0090834,-0.0090834,0.042098,-0.042098,0.00283435,-0.00283435,0.043164912
11.5,11,12,0.52553,0.0108345,-0.0108345,0.0420425,-0.0420425,0.00311925,-0.00311925,0.043537967
12.5,12,13,0.52806,0.0128405,-0.0128405,0.042245,-0.042245,0.0027925,-0.0027925,0.044245816
13.5,13,14,0.51548,0.014831,-0.014831,0.041238,-0.041238,0.00267645,-0.00267645,0.043908525
14.5,14,15,0.51985,0.016847,-0.016847,0.0415875,-0.0415875,0.00324015,-0.00324015,0.045000095
15.5,15,16,0.52727,0.019056,-0.019056,0.042182,-0.042182,0.00351515,-0.00351515,0.046439358
17,16,18,0.52302,0.0190395,-0.0190395,0.0418415,-0.0418415,0.0036822,-0.0036822,0.046139443
19,18,20,0.537295,0.0248895,-0.0248895,0.0429835,-0.0429835,0.0025477,-0.0025477,0.049737186
