pT,$p_{T}$ [$GeV/c$] LOW,$p_{T}$ [$GeV/c$] HIGH,ratio,stat. +,stat. -,syst. +,syst. -,syst. uncorr. +,syst. uncorr. -,abserror
0.325,0.3,0.35,0.0124845,0.000340825,-0.000340825,0.00120625,-0.00120625,0.00039651,-0.00039651,0.001315209
0.375,0.35,0.4,0.0156045,0.00034426,-0.00034426,0.0013722,-0.0013722,0.000484825,-0.000484825,0.001495857
0.425,0.4,0.45,0.0189495,0.000352085,-0.000352085,0.0014915,-0.0014915,0.000589725,-0.000589725,0.001642376
0.475,0.45,0.5,0.0224405,9.14405E-05,-9.14405E-05,0.00082444,-0.00082444,0.00082444,-0.00082444,0.001169585
0.525,0.5,0.55,0.0269705,0.000106522,-0.000106522,0.000956495,-0.000956495,0.000956495,-0.000956495,0.001356891
0.575,0.55,0.6,0.0319205,0.000124875,-0.000124875,0.001121,-0.001121,0.001121,-0.001121,0.001590387
0.625,0.6,0.65,0.036784,0.00014529,-0.00014529,0.0028017,-0.0028017,0.0028017,-0.0028017,0.003964943
0.675,0.65,0.7,0.0443505,0.00018075,-0.00018075,0.010844,-0.010844,0.010844,-0.010844,0.015336821
0.725,0.7,0.75,0.0485305,0.000218385,-0.000218385,0.00469245,-0.00469245,0.00180915,-0.00180915,0.005054533
0.775,0.75,0.8,0.0570655,0.000340315,-0.000340315,0.00749495,-0.00749495,0.00241785,-0.00241785,0.007892206
0.825,0.8,0.85,0.0630375,0.00047781,-0.00047781,0.00278445,-0.00278445,0.00278445,-0.00278445,0.003966976
0.875,0.85,0.9,0.0731595,0.000572615,-0.000572615,0.0015177,-0.0015177,0.00049984,-0.00049984,0.001698396
0.925,0.9,0.95,0.084055,0.000685705,-0.000685705,0.00113365,-0.00113365,0.000866165,-0.000866165,0.00160017
0.975,0.95,1,0.095242,0.00081678,-0.00081678,0.00173495,-0.00173495,0.001168445,-0.001168445,0.002295875
1.05,1,1.1,0.108195,0.00069403,-0.00069403,0.0023359,-0.0023359,0.00111528,-0.00111528,0.002715836
1.15,1.1,1.2,0.144325,0.001024085,-0.001024085,0.00430885,-0.00430885,0.001000225,-0.001000225,0.004545021
1.25,1.2,1.3,0.160835,0.0012595,-0.0012595,0.011485,-0.011485,0.000879725,-0.000879725,0.011588224
1.35,1.3,1.4,0.18692,0.0015823,-0.0015823,0.020118,-0.020118,0.0011076,-0.0011076,0.02021151
1.45,1.4,1.5,0.2156,0.00196565,-0.00196565,0.003583,-0.003583,0.00139625,-0.00139625,0.004325308
1.55,1.5,1.6,0.243405,0.0022633,-0.0022633,0.00563765,-0.00563765,0.0007511,-0.0007511,0.006169873
1.65,1.6,1.7,0.27058,0.00266765,-0.00266765,0.00601045,-0.00601045,0.0008888,-0.0008888,0.006697043
1.75,1.7,1.8,0.2978,0.00307185,-0.00307185,0.00682935,-0.00682935,0.00106675,-0.00106675,0.007642946
1.85,1.8,1.9,0.328315,0.00357865,-0.00357865,0.00777595,-0.00777595,0.0012548,-0.0012548,0.008749508
1.95,1.9,2,0.352605,0.00396655,-0.00396655,0.0096641,-0.0096641,0.00140965,-0.00140965,0.010640547
