CMDLINE python3 getYieldsandRatios.py
MEM 0.308594 1706285063.4563
MEM 22.746094 1706285063.5568
MEM 39.035156 1706285063.6575
MEM 46.433594 1706285063.7581
MEM 54.972656 1706285063.8586
MEM 63.832031 1706285063.9592
MEM 67.984375 1706285064.0596
MEM 70.414062 1706285064.1602
MEM 75.488281 1706285064.2609
MEM 77.585938 1706285064.3615
MEM 80.617188 1706285064.4620
MEM 87.351562 1706285064.5625
MEM 93.226562 1706285064.6631
MEM 99.050781 1706285064.7635
MEM 105.839844 1706285064.8640
MEM 110.683594 1706285064.9648
MEM 137.843750 1706285065.0654
MEM 137.843750 1706285065.1658
MEM 148.968750 1706285065.2665
MEM 164.753906 1706285065.3671
MEM 183.578125 1706285065.4676
MEM 196.738281 1706285065.5682
MEM 210.156250 1706285065.6687
MEM 226.074219 1706285065.7708
MEM 238.062500 1706285065.8715
MEM 257.390625 1706285065.9720
MEM 275.875000 1706285066.0724
MEM 288.472656 1706285066.1730
MEM 321.062500 1706285066.2736
MEM 349.562500 1706285066.3743
MEM 367.621094 1706285066.4749
MEM 386.832031 1706285066.5755
MEM 401.027344 1706285066.6759
MEM 418.882812 1706285066.7767
MEM 428.382812 1706285066.8773
MEM 446.289062 1706285066.9778
MEM 469.527344 1706285067.0783
MEM 476.136719 1706285067.1787
MEM 485.359375 1706285067.2792
MEM 490.015625 1706285067.3797
MEM 490.015625 1706285067.4801
MEM 490.015625 1706285067.5805
MEM 490.015625 1706285067.6809
MEM 490.015625 1706285067.7816
MEM 490.015625 1706285067.8821
MEM 490.015625 1706285067.9826
MEM 490.015625 1706285068.0832
MEM 490.015625 1706285068.1838
MEM 490.015625 1706285068.2843
MEM 494.015625 1706285068.3847
MEM 521.117188 1706285068.4853
MEM 514.996094 1706285068.5861
MEM 514.996094 1706285068.6865
MEM 514.996094 1706285068.7871
MEM 514.976562 1706285068.8875
MEM 520.031250 1706285068.9880
MEM 524.984375 1706285069.0886
MEM 531.789062 1706285069.1893
MEM 535.519531 1706285069.2899
MEM 540.164062 1706285069.3903
MEM 546.285156 1706285069.4907
MEM 550.761719 1706285069.5911
MEM 553.433594 1706285069.6916
MEM 556.578125 1706285069.7921
MEM 556.578125 1706285069.8930
MEM 556.578125 1706285069.9936
MEM 556.578125 1706285070.0941
MEM 556.578125 1706285070.1947
MEM 556.578125 1706285070.2952
MEM 556.578125 1706285070.3957
MEM 556.578125 1706285070.4964
MEM 556.578125 1706285070.5971
MEM 556.578125 1706285070.6975
MEM 556.578125 1706285070.7981
MEM 556.578125 1706285070.8988
MEM 556.578125 1706285070.9995
MEM 568.031250 1706285071.1001
MEM 571.558594 1706285071.2007
MEM 576.179688 1706285071.3012
MEM 579.300781 1706285071.4021
MEM 584.218750 1706285071.5026
MEM 597.535156 1706285071.6032
MEM 606.609375 1706285071.7039
MEM 642.750000 1706285071.8048
MEM 650.042969 1706285071.9054
MEM 656.421875 1706285072.0061
MEM 664.421875 1706285072.1070
MEM 672.421875 1706285072.2077
MEM 680.421875 1706285072.3083
MEM 686.421875 1706285072.4090
MEM 694.421875 1706285072.5095
MEM 702.421875 1706285072.6100
MEM 710.421875 1706285072.7107
MEM 718.421875 1706285072.8114
MEM 726.421875 1706285072.9119
MEM 732.609375 1706285073.0124
MEM 740.609375 1706285073.1130
MEM 748.609375 1706285073.2136
MEM 752.609375 1706285073.3144
MEM 756.609375 1706285073.4152
MEM 760.609375 1706285073.5158
MEM 768.609375 1706285073.6166
MEM 774.609375 1706285073.7176
MEM 788.609375 1706285073.8183
MEM 796.609375 1706285073.9195
MEM 798.609375 1706285074.0204
MEM 808.609375 1706285074.1209
MEM 818.609375 1706285074.2216
MEM 828.609375 1706285074.3222
MEM 840.609375 1706285074.4229
MEM 850.609375 1706285074.5236
MEM 860.656250 1706285074.6243
MEM 872.656250 1706285074.7251
MEM 882.656250 1706285074.8256
MEM 894.656250 1706285074.9266
MEM 908.656250 1706285075.0273
MEM 918.656250 1706285075.1278
MEM 930.656250 1706285075.2286
MEM 942.656250 1706285075.3292
MEM 952.863281 1706285075.4298
MEM 1017.292969 1706285075.5306
MEM 1103.292969 1706285075.6313
MEM 1122.019531 1706285075.7319
MEM 1124.019531 1706285075.8326
MEM 996.718750 1706285075.9332
MEM 999.253906 1706285076.0337
MEM 1001.253906 1706285076.1342
MEM 1001.253906 1706285076.2361
MEM 1001.253906 1706285076.3371
MEM 1005.253906 1706285076.4376
MEM 1006.304688 1706285076.5381
MEM 1008.304688 1706285076.6387
MEM 1008.335938 1706285076.7394
MEM 1010.335938 1706285076.8400
MEM 1012.335938 1706285076.9408
MEM 1016.785156 1706285077.0414
MEM 1021.332031 1706285077.1421
MEM 1023.640625 1706285077.2427
MEM 1029.433594 1706285077.3434
MEM 1034.277344 1706285077.4440
MEM 1038.875000 1706285077.5445
MEM 1041.511719 1706285077.6452
MEM 1041.511719 1706285077.7458
MEM 1041.511719 1706285077.8463
MEM 1041.511719 1706285077.9467
MEM 1041.511719 1706285078.0474
MEM 1041.511719 1706285078.1480
MEM 1041.511719 1706285078.2486
MEM 1041.511719 1706285078.3492
MEM 1041.511719 1706285078.4498
MEM 1041.511719 1706285078.5503
MEM 1041.511719 1706285078.6509
MEM 1041.511719 1706285078.7517
MEM 1043.511719 1706285078.8523
MEM 1043.511719 1706285078.9530
MEM 1043.511719 1706285079.0535
MEM 1043.511719 1706285079.1542
MEM 1043.511719 1706285079.2550
MEM 1043.511719 1706285079.3556
MEM 1043.511719 1706285079.4561
MEM 1043.511719 1706285079.5569
MEM 1043.511719 1706285079.6576
MEM 1043.511719 1706285079.7583
MEM 1043.511719 1706285079.8589
MEM 1043.511719 1706285079.9594
MEM 1045.796875 1706285080.0600
